date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2014-01-28,181292001.9,12738,506991000,21.55,15500400,20750,27.45015802
2014-01-29,171274656.5,13461,540424000,21.92,6053630,30600,27.95263434
2014-01-30,234023845.3,12325,553665000,21.69,8373710,38550,21.24300756
2014-01-31,210041710.7,12571,547740000,22.13,2952510,39350,22.55879151
2014-02-01,95035476.29,10604,559715000,22.47,6694190,25550,19.43762636
2014-02-02,94783011.84,11210,570552000,22.4,3546110,24650,20.71649433
2014-02-03,113964106.6,10665,567762000,21.91,3524210,23750,22.59758014
2014-02-04,132013505.1,10511,556177000,21.46,4879620,24850,23.38237206
2014-02-05,220954818.2,12619,547538000,20.78,4936760,34550,26.37245982
2014-02-06,156341769,13438,531339000,19.91,7828450,36850,24.78772461
2014-02-07,82174313.2,11857,507590000,18.54,16757700,34200,21.90991527
2014-02-08,157202643.5,11213,473073000,18.08,6965790,23600,25.4163022
2014-02-09,117560856.3,10500,460532000,18.22,5744230,23350,20.06502491
2014-02-10,134023157.1,10347,467936000,17.73,27097100,22700,17.38499135
2014-02-11,571436824.3,12060,454561000,17.46,16089200,20600,30.99556926
2014-02-12,148737780.1,11565,446044000,16.95,5629570,22750,38.59960518
2014-02-13,99541555.37,11868,434127000,15.29,10353300,28400,25.42859855
2014-02-14,108085491.5,11525,394511000,16.41,24859900,27150,20.88270048
2014-02-15,287527687,11994,422930000,16.17,3971300,31150,23.5153991
2014-02-16,73636289.82,10060,414206000,15.2,7650140,33200,19.98302366
2014-02-17,139065559.5,11249,390157000,15.49,5834890,35400,19.96557391
2014-02-18,79867157.57,11259,399311000,15.62,2986580,34100,17.82869676
2014-02-19,98375142.31,9990,401899000,15.73,2741110,24500,15.62041945
2014-02-20,282294019.4,9539,406015000,13.98,9196220,24350,18.140382
2014-02-21,105181508.8,10421,361895000,13.89,7258070,26300,17.82969413
2014-02-22,249426396.7,10701,360619000,14.94,6373580,28600,19.17244381
2014-02-23,29720069.47,10428,388743000,15.49,8169300,32750,16.39499421
2014-02-24,56321524.21,10946,400579000,14.55,7749270,32950,19.93598527
2014-02-25,47990419.01,10494,377145000,13.82,23785700,33650,15.96481274
2014-02-26,141080923.7,11714,359410000,14.23,11189500,28500,25.75667381
2014-02-27,35361619.46,10245,371645000,14.29,3859700,27500,24.064773
2014-02-28,42391850.07,9873,372792000,13.23,6549690,26500,21.58509755
2014-03-01,39414653.61,9713,345571000,13.65,3267220,30100,20.77155518
2014-03-02,39580924.13,9064,357177000,12.74,3812480,31050,15.45613603
2014-03-03,31243491.68,9810,334685000,14.27,17573800,34950,14.72886225
2014-03-04,163937297.9,11869,374656000,17.07,47109100,30300,113.5863859
2014-03-05,348420072.4,16842,446077000,16.34,11390300,28600,54.14740966
2014-03-06,168979052.3,11680,430457000,16.46,8044810,33750,31.27816959
