close,volbtc,bb_up,bb_mid,bb_low,rsi,close_lag1,bb_low_lag1,bb_up_lag1,close_lag2,bb_low_lag2,bb_up_lag2,rsi_lag1,rsi_lag2,bb_sig
834.21,197.3945397,841.7353002,834.0171429,826.2989855,58.40506557,829.92,822.3638012,842.2104845,835.73,822.3035393,842.1936035,54.88542698,60.86388749,0
837.01,248.8160133,842.3688975,835.1185714,827.8682454,60.73748607,834.21,826.2989855,841.7353002,829.92,822.3638012,842.2104845,58.40506557,54.88542698,0
827.5,286.1167097,842.6900675,834.5585714,826.4270754,49.69538451,837.01,827.8682454,842.3688975,834.21,826.2989855,841.7353002,60.73748607,58.40506557,0
836.99,359.8019295,838.435775,833.3385714,828.2413678,58.4827049,827.5,826.4270754,842.6900675,837.01,827.8682454,842.3688975,49.69538451,60.73748607,0
835.43,592.160983,838.953838,833.8271429,828.7004477,56.58700109,836.99,828.2413678,838.435775,827.5,826.4270754,842.6900675,58.4827049,49.69538451,0
836.33,436.2811979,839.1201737,833.9128571,828.7055406,57.51394643,835.43,828.7004477,838.953838,836.99,828.2413678,838.435775,56.58700109,58.4827049,0
827.95,649.4513677,839.3970198,833.6314286,827.8658374,46.68553042,836.33,828.7055406,839.1201737,835.43,828.7004477,838.953838,57.51394643,56.58700109,0
828,692.1600558,839.1907658,832.7442857,826.2978057,46.755312,827.95,827.8658374,839.3970198,836.33,828.7055406,839.1201737,46.68553042,57.51394643,0
828.76,553.1038998,837.7045658,831.5657143,825.4268628,47.96311853,828,826.2978057,839.1907658,827.95,827.8658374,839.3970198,46.755312,46.68553042,0
829.69,595.4909779,837.6477072,831.8785714,826.1094357,49.59544497,828.76,825.4268628,837.7045658,828,826.2978057,839.1907658,47.96311853,46.755312,0
827,456.9132926,835.7384456,830.4514286,825.1644116,44.84804926,829.69,826.1094357,837.6477072,828.76,825.4268628,837.7045658,49.59544497,47.96311853,0
824.05,518.623489,834.0420853,828.8257143,823.6093433,39.95478203,827,825.1644116,835.7384456,829.69,826.1094357,837.6477072,44.84804926,49.59544497,0
825.09,201.1404914,830.0117736,827.22,824.4282264,42.53363861,824.05,823.6093433,834.0420853,827,825.1644116,835.7384456,39.95478203,44.84804926,0
824.02,226.2784536,829.8530878,826.6585714,823.4640551,40.44843844,825.09,824.4282264,830.0117736,824.05,823.6093433,834.0420853,42.53363861,39.95478203,0
826.04,117.3836264,829.4726197,826.3785714,823.2845232,46.25196754,824.02,823.4640551,829.8530878,825.09,824.4282264,830.0117736,40.44843844,42.53363861,0
824.99,476.3465411,828.6180157,825.84,823.0619843,43.67103184,826.04,823.2845232,829.4726197,824.02,823.4640551,829.8530878,46.25196754,40.44843844,0
821.61,635.4760576,827.0745301,824.6857143,822.2968985,36.10470691,824.99,823.0619843,828.6180157,826.04,823.2845232,829.4726197,43.67103184,46.25196754,0
825.13,237.1395197,826.3903144,824.4185714,822.4468284,47.21604189,821.61,822.2968985,827.0745301,824.99,823.0619843,828.6180157,36.10470691,43.67103184,0
827.99,321.8401275,827.6705068,824.9814286,822.2923503,54.68573078,825.13,822.4468284,826.3903144,821.61,822.2968985,827.0745301,47.21604189,36.10470691,0
