volbtc,rsi_lag1,rsi_lag2,signal
701.0464651,47.67750705,51.19428709,0
546.1632629,52.85993935,47.67750705,0
323.9286454,53.68117963,52.85993935,0
295.4648996,50.61776316,53.68117963,0
799.9627767,49.86692327,50.61776316,0
822.1110754,42.91371154,49.86692327,0
866.2777686,41.44851459,42.91371154,1
724.1827755,43.14591397,41.44851459,0
398.6034319,38.08897357,43.14591397,0
254.5704761,42.7733431,38.08897357,0
636.3343803,41.40825911,42.7733431,0
1169.485159,43.56738123,41.40825911,0
837.6310969,46.65326639,43.56738123,0
957.0703081,46.55762457,46.65326639,0
639.9165317,50.74428592,46.55762457,0
615.0610435,48.24237519,50.74428592,0
2122.354196,41.07056818,48.24237519,0
1539.289979,30.71860492,41.07056818,1
1507.657842,38.13294266,30.71860492,0
1297.722082,35.02629919,38.13294266,0
602.7415903,44.37736003,35.02629919,0
371.3127465,40.50289985,44.37736003,0
528.5547979,43.99559594,40.50289985,0
790.3571457,42.3700311,43.99559594,0
820.5353303,42.08566319,42.3700311,0
583.4963439,41.66185926,42.08566319,0
540.965476,41.99294669,41.66185926,0
209.7137564,42.64149796,41.99294669,0
692.7911906,45.27708525,42.64149796,0
1190.536129,46.05269063,45.27708525,0
689.3915698,51.74007464,46.05269063,0
462.1632275,47.96728705,51.74007464,0
587.9150377,50.91671915,47.96728705,0
397.8890027,41.1880707,50.91671915,0
867.2619524,39.49356007,41.1880707,1
979.1100137,46.47439053,39.49356007,0
1006.300284,44.93826046,46.47439053,0
788.680428,45.32748305,44.93826046,0
1221.152248,44.77910248,45.32748305,0
623.3015316,33.27342076,44.77910248,0
1183.441339,38.58611829,33.27342076,0
1459.274741,45.19823934,38.58611829,0
1239.761155,47.31913517,45.19823934,0
1037.296585,44.32627929,47.31913517,0
957.5583256,42.71009199,44.32627929,0
471.3628093,46.27303197,42.71009199,0
642.7721957,43.85132925,46.27303197,0
1125.065631,48.45615094,43.85132925,0
976.416875,50.50963097,48.45615094,0
612.0770302,50.29384997,50.50963097,0
356.5668862,50.53766559,50.29384997,0
477.4507519,49.71480098,50.53766559,0
855.0300078,48.98380906,49.71480098,0
785.9190564,49.12478851,48.98380906,0
825.0108041,50.61546621,49.12478851,0
832.8724377,50.59298115,50.61546621,0
