close,volbtc,bb_high,bb_mid,bb_low,rsi,close_lag1,bb_low_lag1,bb_mid_lag1,bb_high_lag1,close_lag2,bb_low_lag2,bb_mid_lag2,bb_high_lag2,rsi_lag1,rsi_lag2,signal
710.46,9331.817306,766.8225586,738.0571429,709.2917271,38.4896869,703.12,718.9278204,746.3857143,773.8436082,735.01,739.2454503,746.3857143,770.1974068,34.93523875,45.55561605,1
708.53,3003.327883,758.3177685,730.2814286,702.2450887,37.90334648,710.46,709.2917271,738.0571429,766.8225586,703.12,718.9278204,738.0571429,773.8436082,38.4896869,34.93523875,0
665.63,1787.790822,750.728056,716.2428571,681.7576583,27.77490367,708.53,702.2450887,730.2814286,758.3177685,710.46,709.2917271,730.2814286,766.8225586,37.90334648,38.4896869,0
669,5157.862104,739.7769793,704.6971429,669.6173064,29.37152614,665.63,681.7576583,716.2428571,750.728056,708.53,702.2450887,716.2428571,758.3177685,27.77490367,37.90334648,0
654.63,4293.267716,727.7979502,692.34,656.8820498,26.66468869,669,669.6173064,704.6971429,739.7769793,665.63,681.7576583,704.6971429,750.728056,29.37152614,27.77490367,1
667.66,2556.339698,711.1491621,682.7185714,654.2879808,32.71945641,654.63,656.8820498,692.34,727.7979502,669,669.6173064,692.34,739.7769793,26.66468869,29.37152614,1
659.45,1964.357393,704.2784332,676.48,648.6815668,30.98365355,667.66,654.2879808,682.7185714,711.1491621,654.63,656.8820498,682.7185714,727.7979502,32.71945641,26.66468869,0
674.66,1558.317415,692.5927233,671.3657143,650.1387053,37.58942088,659.45,648.6815668,676.48,704.2784332,667.66,654.2879808,676.48,711.1491621,30.98365355,32.71945641,0
664.98,974.7917483,672.9903026,665.1442857,657.2982688,35.27536596,674.66,650.1387053,671.3657143,692.5927233,659.45,648.6815668,671.3657143,704.2784332,37.58942088,30.98365355,0
653.78,1794.884266,672.8237097,663.4514286,654.0791474,32.76226844,664.98,657.2982688,665.1442857,672.9903026,674.66,650.1387053,665.1442857,692.5927233,35.27536596,37.58942088,0
628.03,4688.354512,675.6382323,657.5985714,639.5589105,27.8497614,653.78,654.0791474,663.4514286,672.8237097,664.98,657.2982688,663.4514286,672.9903026,32.76226844,35.27536596,0
604.5,4988.733067,680.7245353,650.4371429,620.1497504,24.26874783,628.03,639.5589105,657.5985714,675.6382323,653.78,654.0791474,657.5985714,672.8237097,27.8497614,32.76226844,1
593,6289.383874,677.8495172,639.7714286,601.69334,22.73040789,604.5,620.1497504,650.4371429,680.7245353,628.03,639.5589105,650.4371429,675.6382323,24.26874783,27.8497614,1
595,1941.385069,671.7604467,630.5642857,589.3681247,23.63698521,593,601.69334,639.7714286,677.8495172,604.5,620.1497504,639.7714286,680.7245353,22.73040789,24.26874783,1
593.2,1082.267476,655.4767418,618.9271429,582.3775439,23.37121596,595,589.3681247,630.5642857,671.7604467,593,601.69334,630.5642857,677.8495172,23.63698521,22.73040789,0
565.28,2624.688674,638.9747978,604.6842857,570.3937736,19.67573331,593.2,582.3775439,618.9271429,655.4767418,595,589.3681247,618.9271429,671.7604467,23.37121596,23.63698521,0
613.32,5913.715926,622.4722064,598.9042857,575.336365,37.87741925,565.28,570.3937736,604.6842857,638.9747978,593.2,582.3775439,604.6842857,655.4767418,19.67573331,23.37121596,0
631.1,2624.05939,623.8494356,599.3428571,574.8362787,43.02347239,613.32,575.336365,598.9042857,622.4722064,565.28,570.3937736,598.9042857,638.9747978,37.87741925,19.67573331,0
